id,student_number,year,time_1,time_2,people,age,intrusiveness
457,965bb8e393ec2a6db27f7030ff85170eb2fc6825,23,13:52:05,13:54:10,90,15,1
458,f50e7d4e4d07c093b3bd6fcf6add812678ce3ce8,23,13:49:50,13:51:45,60,12,6
459,a836999d18aac28e427d5ecebf86b7da79103732,23,13:49:00,13:51:00,80,10,10
460,c73379e7a55b2ed6cb0723d223b0aeb18ba18414,23,13:48:47,13:50:15,105,16,1
461,d6336310949bee3772f0d50b4d30c8ab45a26498,24,10:01:00,10:03:00,40,10,6
462,217ede9095be278c114d5496bdcf42750d1655a0,24,10:04:00,10:06:00,50,11,10
463,44e2ba105b6063da000ad96bd21b8c74f253477c,24,10:01:25,10:03:38,40,10,1
464,07d1833706f1dc12479c6e9738ea5e2b9f20fca0,24,10:03:00,10:06:00,40,8,4
465,4fe76e2353ece57a4ee7069506b525597f8ee5e7,24,10:03:22,10:05:41,40,10,1
466,819e294eb9586f5112153c23c8682ef542060074,24,10:01:00,10:05:00,40,8,9
467,429fbd3acf9ae8588f436035ca921a3d36ae0ae5,24,10:03:00,10:06:00,50,12,1
468,4252e5f6d6d80a9364108ccabbce5649c05d6241,24,10:03:00,10:06:00,50,10,7
469,d98f63e021585d4ecb68223e9e26bc5a364f0f61,24,10:04:10,10:06:45,40,12,2
470,3c3a8482fc27025a7a5b384c4c17978713a354db,24,10:03:00,10:06:00,20,8,5
471,fb901a06c3891eda985f42a2c3c0f59c103e0fd2,24,10:04:00,10:07:00,73,16,9
472,1b739756e31fe5ba805194713bc214bcce15d241,24,10:04:29,10:07:22,50,13,1
473,8e91128f8e24876b1bc2cc200d638634a922d50c,24,10:04:30,10:06:05,50,10,1
474,3438db9af3b410eeb9f97aafbd7ca047d0fd2623,24,10:05:00,10:08:00,63,15,8
475,1ff4a897d5fbb535f650f6d62a0d80bccc1f5f4b,24,10:05:00,10:10:00,50,10,13
476,67c10457de73e85f1655179a43997d57e98a0832,24,10:03:15,10:05:30,50,7,5
477,a9ea7d2eacb9faa6ce3756b865a1671df519e9b8,24,10:03:00,10:06:00,40,10,8
478,6f9f96426b0f1b321bae5da03bf78c6b43e596fb,24,10:04:00,10:06:00,40,8,4
479,4ab61ac49e47d4d33ea5f4ebb1ac6c84cb5b6039,24,10:03:00,10:07:00,70,12,8
480,4e885216ce5fd7e0945236030d8b5c5fc3cccbe6,24,10:03:00,10:08:00,60,10,12
481,bf8fc56a1b9cfc9192ad6430624a911cdacdb41b,24,10:03:00,10:06:00,50,11,1
482,6b816fae1c3733d8b30011c68477941283697ee3,24,10:04:00,10:06:00,50,14,10
483,589c587c17c520cb7f727f442b762693a32fddec,24,10:05:33,10:07:40,90,10,4
484,acac630af110626f8034fda62f21e7a22e9e8ff5,24,10:04:15,10:08:15,62,13,13
485,4fd36a8ed8261fc6858273d10ff5cf1947efefa9,24,10:04:40,10:07:37,40,8,5
486,8c9fc522b15cccd6def7b3b2483486f7cb9f9ea5,24,10:08:00,10:09:00,40,9,8
487,6f8c374e3a112b03a7cf944b0d6df68165c9db2a,24,10:05:00,10:06:00,50,10,2
488,f0bc1851c2b64232d60dc4c314cbe75aa6124e03,24,10:04:00,10:07:00,45,11,4
489,5d3f2d1bdee96f06f05e0bd32800c22f189cdadc,24,10:10:00,10:13:00,40,10,8
490,8b11c6d53d770d9c7dd507cab22d5f691e26bcdc,24,10:06:00,10:08:00,20,7,2
491,d29d0c0ce1013d57aee69748695906ae26eaddb7,24,10:03:00,10:08:00,40,7,10
492,bf467126c677211c76b4085938753dd34ef943f1,24,10:08:30,10:15:24,80,11,8
493,c42dd7401d287ff84a266a0487b2a09818afee31,25,17:34:00,17:36:00,70,11,1
494,a027edb1f2fb20e10d8ffa0a6da8759aebcd60e5,25,17:35:00,17:37:00,53,13,15
495,0ccadc4385e2e0e1d25c581748bbd0bce81add15,25,17:35:00,17:36:00,30,10,1
496,270686a66abdde79d79e3c1863fea81f34bb7795,25,17:36:01,17:38:35,50,4,3
497,c046693d9af7fed4f2bf25706c35cab6abd69fb2,25,17:34:00,17:37:00,85,11,2
498,0f39023d214eb580f7888550047649c205006f35,25,17:34:45,17:38:20,80,14,11
499,3cde891172dfd866aaabcf3b787774435d43fa93,25,17:36:25,17:38:10,60,12,11
500,3d229c0a50e5342109b114173e52dc0bb9ae27ef,25,18:35:30,18:37:50,65,10,9
501,cc937f4892d262ca607d2858d9aa91138ea97970,25,17:33:00,17:44:00,60,55,55
502,f96a48ae6a836a731266b4a0583202a64cfd1b4c,25,17:34:00,17:45:00,90,85,75
503,e3ac5d5ddab4ecf916eab2a27e297a1a0a9b86c0,25,17:34:00,17:36:00,5,50,50
505,8e854e87d149dad76a06dbd3c9fe5c35cb41161b,25,17:35:00,17:38:00,50,30,5
506,3855786bdf8946cd8d1aa875448ec5bcdce6e5d4,25,17:34:10,17:37:10,40,40,50
507,00ad36b687fdcd2c99c49038826b07bc76c441ff,25,17:34:00,17:36:00,80,50,55
508,bfb9d7610b13b94c6107dee6b0c2c8e339ceb0a5,25,17:34:00,17:38:00,45,40,15
509,fe656848d9af436e1c7365b95e95e14dc302b6db,25,17:35:00,17:40:00,70,75,25
510,f2d1b7a7e0b67f4e79035840998aa392266a999b,25,17:35:00,17:37:00,40,8,8
511,8f60fb3da07219e5a594cfbcbcf7473b703ecf12,25,17:34:10,17:36:51,70,11,20
512,5f4a2df4f6d5d643562b29e3400f68302d2d8e9d,25,17:34:00,17:35:00,60,16,2
513,a345eeed710df734b6261ca281b153f513b42574,25,17:34:00,17:35:00,40,10,1
514,e40602b3fb3e5628269aeac48affe61256900d20,25,17:35:00,17:36:00,55,12,2
515,3113e9594300fe594c0dfb0ac408796e9ac5de03,25,17:35:26,17:36:56,50,14,6
516,2dac88111dfa0ceabcf9cdb35926cafbedb565d8,25,17:35:00,17:36:00,48,15,20
517,bb69e9a98b7650f01d40bd43789796c8730fc926,25,17:35:07,17:36:45,60,15,11
518,01b5f7c30d4e60086027000233659eec14672b75,25,17:35:00,17:36:00,40,8,2
519,8b51f0321b77c4983ef8c52e930d982d05371667,25,17:34:00,17:36:00,80,50,55
552,3baf494fc96051c8070227a8747a8a92898717c9,25,17:35:00,17:36:00,85,13,2
520,f60b770b2b3910a49b3349d00be79d56911f0f26,26,10:35:00,10:37:00,40,9,3
521,5d3f2d1bdee96f06f05e0bd32800c22f189cdadc,26,10:35:00,10:37:00,55,10,11
522,8b11c6d53d770d9c7dd507cab22d5f691e26bcdc,26,10:35:00,10:37:00,50,6,3
523,a9ea7d2eacb9faa6ce3756b865a1671df519e9b8,26,10:35:00,10:37:00,40,35,55
524,4ab61ac49e47d4d33ea5f4ebb1ac6c84cb5b6039,26,10:35:00,10:40:00,70,60,40
525,1ff4a897d5fbb535f650f6d62a0d80bccc1f5f4b,26,10:35:10,10:37:01,42,9,11
527,f269f41ad6e721bb046ac28ab87cefbeba8ab3d2,26,10:33:05,10:37:15,50,65,30
530,bf8fc56a1b9cfc9192ad6430624a911cdacdb41b,26,10:32:30,10:34:10,50,10,3
531,dc6a1610898eac9eb29102204d934ab6901d422b,26,10:33:00,10:36:00,41,12,1
532,6f8c374e3a112b03a7cf944b0d6df68165c9db2a,26,10:33:00,10:35:00,75,10,5
533,8e91128f8e24876b1bc2cc200d638634a922d50c,26,10:34:50,10:36:45,50,11,3
534,94ce33518a716eafad0819312c8bb34b9771759b,26,10:34:49,10:36:17,30,5,10
535,6b99092afd7056af7e167ac33bf68841a9a11d0e,26,10:33:00,10:34:00,40,45,50
536,4fd36a8ed8261fc6858273d10ff5cf1947efefa9,26,10:33:31,10:37:14,56,7,1
537,acac630af110626f8034fda62f21e7a22e9e8ff5,26,10:33:19,10:35:00,55,10,3
538,07d1833706f1dc12479c6e9738ea5e2b9f20fca0,26,10:34:00,10:36:00,40,9,3
539,4e885216ce5fd7e0945236030d8b5c5fc3cccbe6,26,10:25:00,10:40:00,60,10,9
540,d29d0c0ce1013d57aee69748695906ae26eaddb7,26,10:34:00,10:38:00,60,11,7
541,0c8a50bdc21f90aa622ef8b29d15a1d54f581447,26,10:35:10,10:37:00,60,13,9
542,3438db9af3b410eeb9f97aafbd7ca047d0fd2623,26,10:30:00,10:32:00,55,12,6
543,819e294eb9586f5112153c23c8682ef542060074,26,10:32:00,10:35:00,75,60,60
544,f0bc1851c2b64232d60dc4c314cbe75aa6124e03,26,10:33:00,10:37:00,35,50,30
545,94fd7dfb3f130df5ccb89004fb6520e77403cb20,26,10:33:20,10:35:40,60,50,60
546,4fe76e2353ece57a4ee7069506b525597f8ee5e7,26,10:33:51,10:36:41,45,50,5
547,d6336310949bee3772f0d50b4d30c8ab45a26498,26,10:30:00,10:34:00,50,65,40
548,217ede9095be278c114d5496bdcf42750d1655a0,26,10:34:00,10:36:00,60,50,5
549,3c3a8482fc27025a7a5b384c4c17978713a354db,26,10:33:00,10:36:00,75,9,3
550,589c587c17c520cb7f727f442b762693a32fddec,26,10:34:00,10:35:00,60,11,3
551,b612a2555644425ba02b913d648bb06671797f4e,26,10:32:00,10:33:00,30,10,10
553,8a8f435cd46556d85334afdbb0970ea1bd08afe8,27,19:29:00,19:31:00,50,60,20
554,2f04c6027b44c3a49a4690b06273f006297d0ddd,27,19:29:00,19:30:00,40,10,6
555,1b61b40ada3f4d533c10a087b42eb922a4044449,27,19:30:00,19:32:30,50,50,30
556,3d4e218b42279d43eff29b9f14cc42084d9be3a3,27,19:29:28,19:31:20,60,12,11
557,2c458829fb4835cec11b0b8069ea6030a62a6eb2,27,19:23:36,19:27:15,0,15,3
558,ae7e83440d68663052897b79e912e157ad86c737,27,19:30:00,19:32:00,70,11,11
559,cc7c7a425a611f0614ce8867df5432356308c47c,27,19:29:00,19:31:00,28,50,30
560,7fd2c7812315a084caf484f17d64a99fea519cb9,27,19:23:00,19:25:00,90,10,15
561,ae7e83440d68663052897b79e912e157ad86c737,28,19:53:00,19:55:00,70,11,11
563,1b61b40ada3f4d533c10a087b42eb922a4044449,28,19:53:00,19:54:00,60,12,10
564,12ac11b7c9f55a871ac337a8199d6db1ab660202,28,19:56:25,19:57:15,22,10,6
565,05b56cb43eb8bd8ae83b04bf6faf69c367e4e576,28,20:55:00,20:57:00,80,15,7
566,7fd2c7812315a084caf484f17d64a99fea519cb9,28,20:54:00,20:56:00,90,14,16
567,2f04c6027b44c3a49a4690b06273f006297d0ddd,28,19:54:00,19:55:00,40,11,13
568,8a8f435cd46556d85334afdbb0970ea1bd08afe8,28,19:53:00,19:55:00,84,15,5
569,2c458829fb4835cec11b0b8069ea6030a62a6eb2,28,19:52:00,19:57:36,50,11,10
570,3d4e218b42279d43eff29b9f14cc42084d9be3a3,28,19:52:10,20:00:10,40,11,10
571,99410ca81a3d2065da173a5123c081918941d47c,28,19:59:08,20:01:30,30,5,10
572,affbe09364c76243f3386d320b17a3d32680c9d6,29,13:06:00,13:08:00,90,16,18
574,2a09efa76b8af16c2dbc2dee9b500d8e304f1f9b,29,13:05:55,13:09:28,50,10,8
575,51da40e66cd06b68796a5bb170547e51fd083d99,29,12:57:30,12:59:50,70,11,5
576,3f82864820969d7e6fb225b4ae5560e74e6984a3,29,13:00:00,13:02:00,80,8,10
578,6aae5ca0c6946c7b91816c20eb47758ac152eaa3,29,13:00:00,13:04:00,40,8,5
580,e4318151d371f3accafc50faf1a169430d6f3dbf,29,13:15:00,13:17:00,90,10,1
581,6fdfe31256eab4d2e89c0b592d56b543b2694305,29,13:00:00,13:02:00,80,11,13
582,9d183f99c1dd20b5ea9bcc1c06a6eb5bb7f2f3de,29,13:15:00,00:00:00,80,10,0
584,8a8d2e1160b0a8579aed152e9763c3ed0abeeb8c,29,13:00:00,00:00:00,48,13,10
586,69c9e24fc515c55d55533b000ebd1fa3f25c6bba,29,13:10:00,13:12:00,60,6,20
587,3cb1f69468c959541f83c6d15073163c0d23f644,29,12:58:00,13:02:00,100,15,5
588,82ec7a1a51636d4d42222331e250c6cb78e51de7,29,13:10:00,13:12:00,90,12,14
589,a18ff89df2744c6a3951e1b04c7b6ac32db3723b,29,13:17:40,13:20:00,40,10,11
591,66cc2b1473d0c4c8f9cbddba97451c1218c31274,29,13:00:00,13:02:00,75,10,10
592,f9e7d8f6f3d6dcf2809d481ac94b66825d0be5cb,29,13:00:00,13:02:00,40,10,6
594,f559250be6996d8a37a04c2545dc2be682c4b8b9,29,13:00:00,13:02:00,50,2,4
595,dd8916ecf27266f209a44bdd1a24edc8ecf537c0,29,13:02:00,13:04:00,60,3,4
723,aea7438fba9343c345d497b7a8651872eecb62a7,29,13:15:00,13:20:00,60,15,7
724,0f58d5a5515f1a8a9d179aa58858b67b2f8a3388,29,13:00:00,13:03:00,60,10,5
611,c42dd7401d287ff84a266a0487b2a09818afee31,31,17:01:00,17:03:00,80,10,1
612,3ca1712937de09fde4e2cd52012046fc2d89b2ef,31,17:01:00,17:02:00,40,8,9
613,8b51f0321b77c4983ef8c52e930d982d05371667,31,17:05:00,17:07:00,85,14,3
614,132493f71b2338d162df194e06a539c687429589,31,17:00:00,17:01:00,60,8,11
615,8f60fb3da07219e5a594cfbcbcf7473b703ecf12,31,17:02:00,17:04:00,70,11,20
616,c046693d9af7fed4f2bf25706c35cab6abd69fb2,31,17:00:00,17:04:00,90,15,7
617,0f39023d214eb580f7888550047649c205006f35,31,17:00:00,17:03:30,110,16,11
618,bfb9d7610b13b94c6107dee6b0c2c8e339ceb0a5,31,17:01:00,17:04:00,45,12,3
619,e3ac5d5ddab4ecf916eab2a27e297a1a0a9b86c0,31,17:00:00,17:02:00,35,10,10
620,cc937f4892d262ca607d2858d9aa91138ea97970,31,17:00:00,17:02:01,90,16,15
621,8e854e87d149dad76a06dbd3c9fe5c35cb41161b,31,17:00:00,17:02:00,40,6,1
622,3baf494fc96051c8070227a8747a8a92898717c9,31,17:02:00,17:04:00,105,12,2
623,270686a66abdde79d79e3c1863fea81f34bb7795,31,17:02:01,17:04:59,50,6,14
